"","Estimate","Odd.Ratio","Std. Error","z value","Pr(>|z|)"
"balance_time",0,1,0,9.056,0
"LTV_time",0.031,1.031,0.006,5.143,0
"interest_rate_time",0.064,1.066,0.02,3.223,0.001
"hpi_time",0.304,1.355,0.017,18.296,0
"gdp_time",-1.341,0.262,0.04,-33.171,0
"uer_time",3.777,43.67,0.205,18.391,0
"investor_orig_time",0.191,1.21,0.091,2.095,0.036
"balance_orig_time",0,1,0,-9.265,0
"FICO_orig_time",-0.007,0.993,0.001,-13.876,0
"LTV_orig_time",-0.027,0.973,0.007,-3.684,0
"Interest_Rate_orig_time",-0.056,0.945,0.012,-4.54,0
"hpi_orig_time",-0.007,0.993,0.003,-2.326,0.02
